name,position,G,GS,MP,FG,FGA,FG_pct,3P,3PA,3P_pct,2P,2PA,2P_pct,FT,FTA,FT_pct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Ukari Figgs,Guard,151,132,25.7,2,5.1,0.398,1.1,2.9,0.372,1,2.2,0.432,1.4,1.6,0.854,0.4,1.9,2.3,3.1,0.9,0.1,1.5,1.4,6.5
Isabelle Fijalkowski,Forward-Center,56,51,28.7,4.8,9.2,0.528,0.1,0.3,0.357,4.8,8.9,0.533,3,3.7,0.804,2.2,4.1,6.2,2.3,0.6,0.8,2.8,4.4,12.8
Olga Firsova,Center,9,0,2.1,0.4,1.1,0.4,0,0.1,0,0.4,1,0.444,0.4,0.6,0.8,0,0.4,0.4,0.1,0,0.1,0.2,0.9,1.3
Milena Flores,Guard,32,0,14.8,1.1,3.5,0.304,0.6,1.9,0.295,0.5,1.6,0.314,0.8,1.3,0.619,0.2,0.5,0.7,1.5,0.7,0.1,1.5,1.1,3.5
Tye'sha Fluker,Center,78,3,8.9,0.9,2.7,0.346,0,0.1,0.25,0.9,2.6,0.35,0.5,0.7,0.714,0.6,1,1.6,0.3,0.1,0.4,0.7,1.3,2.4
Kristin Folkl,Forward,128,56,22.1,2.2,4.9,0.459,0.1,0.4,0.229,2.1,4.5,0.478,1.2,1.6,0.726,1.3,3.9,5.2,1.3,0.6,0.7,1.1,2,5.7
Cheryl Ford,Forward,196,196,28.4,4,8.7,0.457,0,0,0,4,8.7,0.458,2.8,4.8,0.595,3.3,6.5,9.7,1,1.1,0.8,1.9,3.6,10.8
Kisha Ford,Guard-Forward,124,4,14.6,1.3,3.6,0.366,0.1,0.4,0.149,1.3,3.2,0.392,0.9,1.5,0.602,0.9,0.9,1.8,0.7,0.9,0.1,0.8,2,3.6
Stacey Ford,Forward,6,0,2.5,0.3,0.5,0.667,0,0,,0.3,0.5,0.667,0,0.3,0,0.3,0.2,0.5,0.2,0,0,0.2,0.2,0.7
Toni Foster,Forward-Center,54,33,18.4,2.4,5.1,0.473,0,0.1,0.167,2.4,4.9,0.479,1.7,2.4,0.717,1.4,2.4,3.9,0.9,1.2,0.5,1.3,1.9,6.5
Sylvia Fowles,Center,306,297,30.7,6.2,10.5,0.593,0,0,1,6.2,10.5,0.593,3.6,5,0.73,2.9,7,9.9,1.1,1.2,1.9,2.4,2.6,16.1
Desiree Francis,Forward,1,0,2,0,1,0,0,0,,0,1,0,0,0,,0,0,0,0,0,0,0,0,0
A'Quonesia Franklin,Guard,36,0,10.3,0.5,2.1,0.257,0.2,0.7,0.231,0.4,1.3,0.271,0.3,0.4,0.643,0.1,1.2,1.3,1.7,0.5,0,0.8,1.3,1.5
Megan Frazee,Forward,39,0,10.9,1.6,4.1,0.405,0.4,1.2,0.326,1.3,2.9,0.438,1,1.5,0.69,0.9,1.8,2.7,0.4,0.2,0.1,0.7,1.4,4.7
Stacy Frese,Guard,21,0,10.6,0.5,1.4,0.333,0.4,1.2,0.346,0,0.2,0.25,1.6,1.7,0.917,0.2,0.7,0.9,0.8,0.2,0,0.7,0.7,3
La'Keshia Frett,Forward,201,50,13.7,1.6,3.8,0.435,0,0.1,0.333,1.6,3.7,0.437,0.6,0.8,0.757,0.7,1.1,1.9,0.8,0.3,0.2,0.7,1.2,4
Trina Frierson,Forward,5,0,4.4,0.4,1.8,0.222,0,0.2,0,0.4,1.6,0.25,0.6,0.6,1,0.6,0.4,1,0,0,0,0.2,1.4,1.4
Linda Frohlich,Forward-Center,72,0,7,0.9,2.3,0.38,0.2,0.6,0.405,0.6,1.7,0.372,0.4,0.5,0.737,0.4,0.9,1.3,0.4,0.2,0.1,0.6,1,2.3
Candace Futrell,Guard,20,0,7.2,0.6,1.9,0.289,0.4,0.9,0.412,0.2,1.1,0.19,0.7,0.8,0.813,0.4,0.6,1,0.5,0.3,0.1,0.4,1,2.1
Katryna Gaither,Center,17,0,4.9,0.3,0.9,0.313,0,0,,0.3,0.9,0.313,0.6,0.6,1,0.5,0.8,1.2,0.4,0.2,0.1,0.4,0.8,1.2
Travesa Gant,Center,2,0,6.5,0,0.5,0,0,0,,0,0.5,0,0,0,,0,1.5,1.5,0,0,0,1,2,0
